,도서관명,시도명,시군구명,위도,경도
0,중랑구립면목정보도서관,서울특별시,중랑구,37.58735615,127.0875566
1,중랑숲어린이도서관,서울특별시,중랑구,37.602634,127.103926
2,중화어린이도서관,서울특별시,중랑구,37.595004,127.0748925
3,양원숲속도서관,서울특별시,중랑구,37.606825,127.110697
4,중랑상봉도서관,서울특별시,중랑구,37.59312724,127.080932
5,송파글마루도서관,서울특별시,송파구,37.48083269,127.1304766
6,송파어린이도서관,서울특별시,송파구,37.51210126,127.0824285
7,거마도서관,서울특별시,송파구,37.493545,127.1468274
8,소나무언덕1호,서울특별시,송파구,37.52741692,127.1180409
9,소나무언덕2호,서울특별시,송파구,37.50726667,127.0942173
10,소나무언덕3호,서울특별시,송파구,37.492325,127.156619
11,소나무언덕4호,서울특별시,송파구,37.502207,127.116836
12,소나무언덕 잠실본동,서울특별시,송파구,37.50310085,127.078872
13,송파어린이영어,서울특별시,송파구,37.5223926,127.102983
14,돌마리도서관,서울특별시,송파구,37.50356461,127.1036855
15,송파위례도서관,서울특별시,송파구,37.48116665,127.143936
16,은평구립도서관,서울특별시,은평구,37.61897412,126.9282674
17,증산정보도서관,서울특별시,은평구,37.58280791,126.9076711
18,응암정보도서관,서울특별시,은평구,37.58596656,126.9196821
19,상림마을작은도서관,서울특별시,은평구,37.64421599,126.9289424
20,은평뉴타운 도서관,서울특별시,은평구,37.6372304,126.9331183
42,중랑구립정보도서관,서울특별시,중랑구,37.6151557,127.0869051
120,사당솔밭도서관,서울특별시,동작구,37.484056,126.967369
121,동작상도국주도서관,서울특별시,동작구,37.50682195,126.9509961
122,동작어린이도서관,서울특별시,동작구,37.50920443,126.943434
123,대방어린이도서관,서울특별시,동작구,37.50302422,126.9252221
124,약수도서관,서울특별시,동작구,37.497851,126.9474396
125,동작샘터도서관,서울특별시,동작구,37.4883609,126.977553
126,다울작은도서관,서울특별시,동작구,37.4788487,126.973246
127,국사봉숲속작은도서관,서울특별시,동작구,37.49543206,126.9405909
232,중앙동 새싹작은도서관,서울특별시,관악구,37.484166,126.949749
233,청림동 푸른숲작은도서관,서울특별시,관악구,37.491797,126.958599
234,행운동 마루작은도서관,서울특별시,관악구,37.480593,126.957059
235,청룡동 숯고을작은도서관,서울특별시,관악구,37.479107,126.941694
236,낙성동 우듬지작은도서관,서울특별시,관악구,37.476264,126.958365
237,미성동 책의향기작은도서관,서울특별시,관악구,37.476132,126.915527
238,삼성동 샛별작은도서관,서울특별시,관악구,37.470073,126.932964
255,책쉼터,서울특별시,관악구,37.472973,126.960215
256,신림청소년독서실,서울특별시,관악구,37.480177,126.916185
257,관악산 詩도서관,서울특별시,관악구,37.468116,126.946069
258,낙성대공원도서관,서울특별시,관악구,37.471383,126.959727
259,하난곡작은도서관,서울특별시,관악구,37.4767912,126.919945
260,용꿈꾸는 작은도서관,서울특별시,관악구,37.478127,126.951487
261,도림천에서 용나는 작은도서관,서울특별시,관악구,37.480942,126.929827
262,꿈나무 영유아도서관,서울특별시,관악구,37.467081,126.944781
